index,word,meaning
1,provide,"[동] 제공하다, 공급하다, 준비하다"
2,develop,"[동] 개발하다, 발달하다, 발전시키다"
3,service,"[명] 서비스, 근무, 봉사, 공공 업무"
4,inform,"[동] 알리다, 통지하다"
5,relationship,[명] 관계
6,improve,"[동] 향상시키다, 나아지다, 향상하다"
7,individual,"[형] 개인의, 개인적인[명] 개인"
8,require,"[동] 요구하다, 필요로 하다"
9,advise,"[동] 충고하다, 조언하다"
10,social,"[형] 사회의, 사교적인"
11,amount,"[명] 총액, 총계, 양[동] 총계가 ~이 되다"
12,behave,[동] 행동하다
13,employ,"[동] 고용하다, 쓰다"
14,attitude,"[명] 태도, 입장"
15,research,"[명] 연구하다, 조사하다[명] 연구, 조사"
16,audience,"[명] 청중, 관객"
17,volunteer,"[명] 지원자, 자원봉사, 자원봉사자[동] 지원하다, 자원봉사하다"
18,influence,"[명] 영향, 영향을 미치는 것[사람][동] 영향을 미치다"
19,terrible,"[형] 끔직한, 형편없는, 무서운"
20,opportunity,[명] 기회
21,ability,"[명] 능력, 재능"
22,expense,"[명] 비용, 지출"
23,local,"[형] 지역의, 장소의, 지방의"
24,involve,"[동] 관련시키다, 포함하다, 관련되다"
25,stress,"[명] 스트레스, 긴장, 강조[동] 강조하다, 압력을 주다"
26,therefore,"[부] 그러므로, 그 결과"
27,positive,"[형] 긍정적인, 낙관적인, 확신하는"
28,average,"[형] 평균의, 보통의[명] 평균, 보통 수준[동] 평균 ~이다"
29,ride,"[동] 타다[명] 타기, 태우기, 타고가기"
30,encourage,"[동] 격려하다, 권장하다, 부추기다, 촉구하다"
31,determine,"[동] 결정하다, 결심하다"
32,international,"[형] 국제의, 국제적인"
33,consume,"[동] 소비하다, 먹다[마시다]"
34,impress,"[동] 감동시키다, 깊은 인상을 주다"
35,object,"[명] 물건, 물체, 목표[동] 반대하다"
36,available,"[형] 이용할 수 있는, 쓸모있는, 시간이 있는"
37,contain,"[동] 들어있다, 포함하다, 함유하다, 억제하다"
38,recognize,"[동] 인지하다 , 인정하다, 알아보다"
39,material,"[명] 재료, 소재, 물질[형] 물질의"
40,comfort,"[명] 편안, 평안함, 위안, 위로[동] 편안하게 하다, 위로하다"
41,emotion,[명] 감정
42,amaze,[동] 놀라게 하다
43,reduce,"[동] 줄이다, 낮추다"
44,discover,"[동] 발견하다, 알아내다"
45,decide,"[동] 결정하다, 결심하다"
46,benefit,"[명] 이익, 혜택[동] 도움이 되다"
47,affect,[동] 영향을 미치다
48,level,"[명] 수준, 정도, 수평[형] 수평의"
49,chemistry,[명] 화학
50,immediate,"[형] 즉각적인, 시급한, 직접적인"
51,thus,"[부] 그러므로, 따라서"
52,proper,"[형] 적절한, 알맞은"
53,performance,"[명] 공연, 성과"
54,essence,"[명] 본질, 정수"
55,economic,"[형] 경제의, 경제학의"
56,cell,[명] 세포
57,focus,[동] 집중하다[명] 초점
58,issue,"[명] 논란거리, 쟁점, 문제"
59,participate,"[동] 참여하다, 참가하다(in)"
60,demand,"[명] 요구, 수요[동] 요구하다"
61,occur,"[동] 발생하다, 일어나다, (생각이) 떠오르다"
62,complex,"[형] 복잡한[명] 복잡체, 복합 건물"
63,define,"[동] 정의하다, 한계 짓다, 한정하다, 규정하다"
64,proud,[형] 자랑스러워하는
65,aware,"[형] 인지하는, 인식하고 있는, 알고 있는"
66,contact,"[동] 연락하다[명] 접촉, 연락"
67,profession,"[명] 직업, 직종, 전문직"
68,detail,"[명] 세부, 세부사항[동] 상술하다"
69,approach,[동] 접근하다[명] 접근
70,career,"[명] 직업, 경력"
71,package,"[명] 꾸러미, 포장, 포장된 짐[동] 포장하다"
72,disappear,[동] 사라지다
73,novel,[명] 소설
74,secure,"[형] 안전한, 안정된[동] 안전하게 하다"
75,fashion,"[명] 유행, 패션, 방식[동] 만들어 내다"
76,despite,[전] ~에도 불구하고
77,background,"[명] (그림, 사람, 사건)배경, 배경 지식"
78,solution,"[명] 해결, 해결책"
79,generate,"[동] 일으키다, 발생시키다"
80,eventually,[부] 결국
81,decrease,"[동] 줄다[감소하다], 줄이다[명] 감소"
82,recycle,[동] 재활용하다
83,desire,"[명] 욕구, 욕망[동] 바라다"
84,balance,"[명] 균형, 은행 잔고[동] 균형을 이루다"
85,negative,[형] 부정적인
86,follow,"[동] 따라가다,  (규칙을) 따르다"
87,account,"[명] 은행 계좌, 이야기, 설명[동] 설명하다"
88,publish,"[동] 발표하다, 출판하다"
89,occasion,"[명] 경우, 특별한 일"
90,replace,[동] 대체하다
91,constant,"[형] 일정한, 불변의[명] (수학에서의) 상수"
92,expert,[명] 전문가
93,term,"[명] 용어, 기간, 학기"
94,relieve,"[동] 경감하다, 안도시키다"
95,describe,"[동] 묘사하다, 표현하다"
96,biology,[명] 생물학
97,due,"[형] 만기의, ~하기로 되어 있는"
98,equipment,"[명] 장치, 장비"
99,congratulate,[동] 축하하다
100,birth,[명] 탄생
101,compose,"[동] 구성하다, 작곡하다, 작문하다"
102,genius,"[명] 천재, 천재성"
103,reflect,"[동] 반영하다, 반사하다, 숙고하다"
104,cause,"[동] ~의 원인이 되다, 야기하다[명] 원인"
105,frequent,"[형] 빈번한[동] (장소,모임에) 자주 가다"
106,factor,"[명] 요인, 요소"
107,extreme,[형] 극단의[명] 극단
108,tend,"[동] ~하는 경향이 있다, 돌보다"
109,politics,"[명] 정치, 정치학"
110,insist,[동] 주장하다
111,extend,"[동] 연장하다, 넓히다"
112,lonely,[형] 외로운
113,habitat,"[명] 서식지, 주거지"
114,mental,[형] 정신의
115,steady,"[형] 안정된, 한결같은, 꾸준한"
116,exchange,[동] 교환하다
117,active,"[형]  활동적인, 적극적인"
118,species,[명] (생물분류상의) 종
119,athletic,"[형] 운동의, 운동경기의"
120,dental,[형] 치아의
121,delight,[명] 기쁨[동] 기쁘게 하다
122,confident,[형] 자신 있는
123,gradually,"[부] 점차, 서서히"
124,shadow,[명] 그림자[동] 그늘지게 하다
125,access,"[명] 접근, 이용[동] 접근하다"
126,announce,"[동] 발표하다, 알리다"
127,allow,"[동] 허락하다, 인정하다"
128,firm,"[형] 확고한, 단단한[명] 회사"
129,vary,"[동] 바꾸다, 변하다, 다르다"
130,injure,"[동] 상처를 입히다, 손상시키다"
131,permit,[동] 허용[허락]하다
132,response,"[명] 응답, 반응"
133,threat,"[동] 위협, 협박"
134,electricity,[명] 전기
